route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
23923,2,4824925,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634435,176100,1,1
23923,2,4824954,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634433,176102,1,1
23923,2,4824955,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634436,176100,1,1
23923,2,4824949,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634434,176102,1,1
23923,2,4824926,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634431,176100,1,1
23923,2,4824950,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634435,176102,1,1
23923,2,4824927,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634432,176100,1,1
23923,2,4824951,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634436,176102,1,1
23923,2,4824928,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634434,176100,1,1
23923,2,4824952,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634431,176102,1,1
23923,2,4824929,BELLAIRE/WESTCHASE/VIA BELLAIRE TC,,0,634435,176100,1,1
23923,2,4824953,BELLAIRE/MISSION BEND/VIA BELLAIRE TC,,0,634434,176102,1,1
23923,2,4825003,TEX MED TC,,1,634434,176107,1,1
23923,2,4825004,TEX MED TC,,1,634431,176108,1,1
23923,2,4824956,TEX MED TC,,1,634435,176107,1,1
23923,2,4824978,TEX MED TC,,1,634433,176108,1,1
23923,2,4824957,TEX MED TC,,1,634431,176107,1,1
23923,2,4824979,TEX MED TC,,1,634434,176110,1,1
23923,2,4824958,TEX MED TC,,1,634432,176107,1,1
23923,2,4824980,TEX MED TC,,1,634435,176110,1,1
23923,2,4824959,TEX MED TC,,1,634436,176107,1,1
23923,2,4824981,TEX MED TC,,1,634433,176110,1,1
23923,2,4824960,TEX MED TC,,1,634431,176107,1,1
23923,2,4824997,TEX MED TC,,1,634434,176110,1,1
23923,2,4824961,TEX MED TC,,1,634432,176107,1,1
23923,2,4824982,TEX MED TC,,1,634435,176110,1,1
23923,2,4824962,TEX MED TC,,1,634433,176107,1,1
23923,2,4824983,TEX MED TC,,1,634436,176110,1,1
23923,2,4824963,TEX MED TC,,1,634434,176107,1,1
23923,2,4824984,TEX MED TC,,1,634431,176110,1,1
23923,2,4824964,TEX MED TC,,1,634435,176107,1,1
23923,2,4824985,TEX MED TC,,1,634432,176110,1,1
23923,2,4824965,TEX MED TC,,1,634436,176107,1,1
23923,2,4824986,TEX MED TC,,1,634433,176110,1,1
23923,2,4824966,TEX MED TC,,1,634431,176107,1,1
23923,2,4824987,TEX MED TC,,1,634434,176110,1,1
23923,2,4824967,TEX MED TC,,1,634432,176107,1,1
23923,2,4824988,TEX MED TC,,1,634435,176110,1,1
23923,2,4824968,TEX MED TC,,1,634433,176107,1,1
23923,2,4824989,TEX MED TC,,1,634436,176110,1,1
23923,2,4824969,TEX MED TC,,1,634434,176107,1,1
23923,2,4824990,TEX MED TC,,1,634431,176110,1,1
23923,2,4824970,TEX MED TC,,1,634435,176107,1,1
23923,2,4824991,TEX MED TC,,1,634432,176110,1,1
23923,2,4824971,TEX MED TC,,1,634436,176107,1,1
23923,2,4824992,TEX MED TC,,1,634433,176110,1,1
23923,2,4824972,TEX MED TC,,1,634431,176107,1,1
23923,2,4824993,TEX MED TC,,1,634434,176110,1,1
23923,2,4825001,TEX MED TC,,1,634432,176107,1,1
23923,2,4825000,TEX MED TC,,1,634435,176110,1,1
23923,2,4824973,TEX MED TC,,1,634433,176107,1,1
23923,2,4824994,TEX MED TC,,1,634436,176110,1,1
23923,2,4824974,TEX MED TC,,1,634434,176107,1,1
